date;time;temperature;humidite;pyrano;v_vent;d_vent;precipitation;vpd;eto_index
2018-01-07;11:45:00;15.18578;56.43092;1988.098;5.990692;279.5953;0;0.71;99999.9
2018-01-07;12:00:00;14.77684;59.66583;2000;4.24506;315.7079;0;0.71;1.16
2018-01-07;12:15:00;14.62272;61.16732;2000;5.420005;256.7654;0;0.69;99999.9
2018-01-07;12:30:00;14.79362;58.00259;2000;4.068055;284.4349;0;0.69;99999.9
2018-01-07;12:45:00;14.96605;55.9472;1956.268;5.651942;293.9602;0;0.69;99999.9
2018-01-07;13:00:00;15.08659;57.02144;2000;5.108721;342.4381;0;0.69;1.13
2018-01-07;13:15:00;15.32463;57.03518;2000;6.466774;327.1613;0;0.74;99999.9
2018-01-07;13:30:00;15.2285;56.5774;2000;4.956131;325.3706;0;0.74;99999.9
2018-01-07;13:45:00;15.20867;58.53056;2000;6.341649;327.5459;0;0.74;99999.9
2018-01-07;14:00:00;15.10643;58.60075;2000;4.135195;326.6505;0;0.74;1.13
2018-01-07;14:15:00;15.04082;57.8912;2000;2.838178;331.6109;0;0.7;99999.9
2018-01-07;14:30:00;15.08965;58.01328;2000;1.80972;318.2788;0;0.7;99999.9
2018-01-07;14:45:00;15.05302;60.12817;1966.918;1.376364;267.1641;0;0.7;99999.9
2018-01-07;15:00:00;15.26513;59.61242;1879.911;3.643855;234.5232;0;0.7;1.21
2018-01-07;15:15:00;15.20409;59.8352;1443.168;1.70901;310.3355;0;0.68;99999.9
2018-01-07;15:30:00;15.33684;61.58083;1671.901;1.77615;276.3488;0;0.68;99999.9
2018-01-07;15:45:00;15.16442;61.26955;1734.035;4.580759;262.9618;0;0.68;99999.9
2018-01-07;16:00:00;14.79362;62.33615;1893.767;3.11284;253.5463;0;0.68;1.03
2018-01-07;16:15:00;14.25193;65.449;1670.71;2.172885;236.9622;0;0.55;99999.9
2018-01-07;16:30:00;14.05051;66.67582;1840.818;2.505531;234.1112;0;0.55;99999.9
2018-01-07;16:45:00;13.84146;68.13611;1979.766;5.435264;264.368;0;0.55;99999.9
2018-01-07;17:00:00;13.49813;70.4921;1865.507;6.341649;241.1261;0;0.55;1.08
2018-01-07;17:15:00;13.26314;72.52766;1963.104;6.030365;183.3646;0;0.41;99999.9
2018-01-07;17:30:00;13.16396;73.83383;1760.555;7.058824;228.1071;0;0.41;99999.9
2018-01-07;17:45:00;13.00221;75.32464;1758.541;3.900206;221.3559;0;0.41;99999.9
2018-01-07;18:00:00;12.45136;82.46281;19.71466;0.1037613;142.2641;3.8;0.41;0.97
2018-01-07;18:15:00;11.76013;86.52628;173.2204;3.012131;359.4727;0.4;0.2;99999.9
2018-01-07;18:30:00;12.32471;84.28168;193.3013;1.928741;230.9197;0;0.2;99999.9
2018-01-07;18:45:00;12.31098;88.64424;0;0.2319371;256.3204;0;0.2;99999.9
2018-01-07;19:00:00;12.21027;85.38033;0;0.09765774;272.9485;0;0.2;0.08
2018-01-07;19:15:00;12.56733;82.59403;0;0.7721065;301.453;0;0.26;99999.9
2018-01-07;19:30:00;12.85115;80.07935;0;2.28275;251.2172;0;0.26;99999.9
2018-01-07;19:45:00;12.9015;80.89875;0;0.8239872;262.4289;0;0.26;99999.9
